"STATISTIC","Statistic Label","C02172V02618","Type of Vehicle Registration","C01841V02268","Type of Fuel","TLIST(M1)","Month","UNIT","VALUE"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199607","1996M07","Number","13169"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199608","1996M08","Number","8362"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199609","1996M09","Number","6737"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199610","1996M10","Number","6461"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199611","1996M11","Number","5289"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199612","1996M12","Number","2786"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199701","1997M01","Number","17521"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199702","1997M02","Number","15775"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199703","1997M03","Number","15958"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199704","1997M04","Number","16950"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199705","1997M05","Number","17026"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199706","1997M06","Number","12638"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199707","1997M07","Number","14036"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199708","1997M08","Number","9886"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199709","1997M09","Number","8366"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199710","1997M10","Number","8961"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199711","1997M11","Number","8424"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199712","1997M12","Number","7562"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199801","1998M01","Number","20608"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199802","1998M02","Number","18655"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199803","1998M03","Number","17987"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199804","1998M04","Number","20282"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199805","1998M05","Number","19155"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199806","1998M06","Number","16440"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199807","1998M07","Number","16702"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199808","1998M08","Number","11754"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199809","1998M09","Number","9168"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199810","1998M10","Number","8865"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199811","1998M11","Number","7821"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199812","1998M12","Number","5087"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199901","1999M01","Number","16434"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199902","1999M02","Number","23729"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199903","1999M03","Number","27844"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199904","1999M04","Number","22375"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199905","1999M05","Number","22874"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199906","1999M06","Number","21326"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199907","1999M07","Number","20901"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199908","1999M08","Number","16412"
